collection,species,occurrences
Aquadesk,akrokomos,33
Aquadesk,subspicatus,33
Aquadesk,pardalis,32
Aquadesk,hemisphaerica,32
Aquadesk,antillarum,32
Aquadesk,clathratulum,32
Aquadesk,cryptotenella,32
Aquadesk,macrodactylus,31
WMR,phaseolina,31
Aquadesk,reinhardi,31
Aquadesk,brebissonii,31
WMR,undatum,31
Aquadesk,vikinga,31
Aquadesk,falcata,30
Aquadesk,pseudofragilis,30
Aquadesk,chaetoceratis,30
Aquadesk,turricula,30
Aquadesk,glaber,30
Aquadesk,haplocheles,30
Aquadesk,contorta,30
Aquadesk,vangoorii,30
Aquadesk,arenicolae,30
Aquadesk,spiritus,29
Aquadesk,hanleyi,29
Aquadesk,paxillifera,29
Aquadesk,curvatus,29
Aquadesk,barbata,29
Aquadesk,circinale,29
Aquadesk,intermedia,29
Aquadesk,binderanus,29
Aquadesk,heterochaetus,29
WMR,conchilega,29
Aquadesk,boryanum,28
VIS,gurnardus,28
VIS,pollachius,28
VIS,encrasicolus,28
Aquadesk,thalassophila,28
Aquadesk,hammoniensis,28
WMR,echinata,28
Aquadesk,orbicularis,28
Aquadesk,minusculum,28
Aquadesk,verugera,28
Aquadesk,celtica,28
Aquadesk,octoculata,28
Aquadesk,luscus,28
Aquadesk,linearis,28
Aquadesk,lima,28
Aquadesk,tricingulatum,27
Aquadesk,coronatus,27
Aquadesk,mediterraneus,27
Aquadesk,parapectinatus,27
Aquadesk,tridentatus,27
Aquadesk,quadripartita,27
WMR,candida,27
Aquadesk,anastomosans,27
Aquadesk,archangelica,27
WMR,ferruginosa,27
Aquadesk,spinigera,26
Aquadesk,variabilis,26
Aquadesk,stolonifera,26
Aquadesk,appendiculatus,26
Aquadesk,humilis,26
Aquadesk,geometra,26
WMR,tumefacta,26
Aquadesk,fonticola,26
Aquadesk,warpachowskyi,25
Aquadesk,pringsheimii,25
Aquadesk,naticoides,25
Aquadesk,parkeae,25
Aquadesk,circinatus,25
Aquadesk,pseudogoniaulax,25
Aquadesk,flabellata,25
Aquadesk,gessneri,24
Aquadesk,jurisii,24
WMR,takanoi,24
Aquadesk,sowinskyi,24
Aquadesk,castanea,24
Aquadesk,bretscheri,24
Aquadesk,divergens,24
Aquadesk,sociabilis,24
Aquadesk,klebahnii,24
Aquadesk,clausa,24
Aquadesk,perrieri,24
VIS,fontinalis,24
Aquadesk,stroemii,24
Aquadesk,arvense,24
Aquadesk,fruticosa,24
Aquadesk,clevei,24
Aquadesk,bilobata,24
Aquadesk,agassizensis,23
Aquadesk,conglomeratus,23
Aquadesk,frondosa,23
Aquadesk,minor,23
Aquadesk,roseus,23
Aquadesk,latipes,23
Aquadesk,capillaris,23
Aquadesk,milium,23
Aquadesk,antennata,23
Aquadesk,tobianus,23
